run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W2-A1-memory-R02,16,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,17,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,18,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,19,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,20,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,21,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,22,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,23,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,24,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,25,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,26,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,27,A1-memory,none,0,0.000000,ok,
W2-A2-merkle-R01,0,A2-merkle,inclusion,165,0.006740,ok,
W2-A2-merkle-R01,1,A2-merkle,inclusion,233,0.008863,ok,
W2-A2-merkle-R01,2,A2-merkle,inclusion,233,0.008182,ok,
W2-A2-merkle-R01,3,A2-merkle,inclusion,302,0.020220,ok,
W2-A2-merkle-R01,4,A2-merkle,inclusion,233,0.007731,ok,
W2-A2-merkle-R01,5,A2-merkle,inclusion,302,0.010475,ok,
W2-A2-merkle-R01,6,A2-merkle,inclusion,302,0.009985,ok,
W2-A2-merkle-R01,7,A2-merkle,inclusion,371,0.013109,ok,
W2-A2-merkle-R01,8,A2-merkle,inclusion,233,0.010896,ok,
W2-A2-merkle-R01,9,A2-merkle,inclusion,303,0.010156,ok,
W2-A2-merkle-R01,10,A2-merkle,inclusion,304,0.010676,ok,
W2-A2-merkle-R01,11,A2-merkle,inclusion,373,0.012559,ok,
W2-A2-merkle-R01,12,A2-merkle,inclusion,304,0.009695,ok,
W2-A2-merkle-R01,13,A2-merkle,inclusion,373,0.013019,ok,
W2-A2-merkle-R01,14,A2-merkle,inclusion,373,0.012088,ok,
W2-A2-merkle-R01,15,A2-merkle,inclusion,442,0.015764,ok,
W2-A2-merkle-R01,16,A2-merkle,inclusion,235,0.007181,ok,
