run_id,event_index,workload_id,backend_id,repetition,seed,latency_ms,status,error_code,artefact_bytes,receipt_bytes,started_ns,ended_ns
W3-A1-memory-R02,24,W3,A1-memory,2,20260002,0.078839,ok,,1023,433,698253780236,698253859075
W3-A1-memory-R02,25,W3,A1-memory,2,20260002,0.076245,ok,,1025,433,698253935249,698254011494
W3-A1-memory-R02,26,W3,A1-memory,2,20260002,0.081323,ok,,1023,433,698254090193,698254171516
W3-A1-memory-R02,27,W3,A1-memory,2,20260002,0.075394,ok,,1023,433,698254244075,698254319469
W3-A1-memory-R02,28,W3,A1-memory,2,20260002,0.076936,ok,,1023,433,698254408332,698254485268
W3-A2-merkle-R01,0,W3,A2-merkle,1,20260001,0.096245,ok,,1025,600,698254620773,698254717018
W3-A2-merkle-R01,1,W3,A2-merkle,1,20260001,0.097206,ok,,1023,658,698254822547,698254919753
W3-A2-merkle-R01,2,W3,A2-merkle,1,20260001,0.104167,ok,,1023,658,698255011732,698255115899
W3-A2-merkle-R01,3,W3,A2-merkle,1,20260001,0.105839,ok,,1023,658,698255218033,698255323872
W3-A2-merkle-R01,4,W3,A2-merkle,1,20260001,0.128734,ok,,1023,658,698255416852,698255545586
W3-A2-merkle-R01,5,W3,A2-merkle,1,20260001,0.112089,ok,,1025,658,698255637755,698255749844
W3-A2-merkle-R01,6,W3,A2-merkle,1,20260001,0.133511,ok,,1023,658,698255843806,698255977317
W3-A2-merkle-R01,7,W3,A2-merkle,1,20260001,0.141594,ok,,1023,658,698256075695,698256217289
W3-A2-merkle-R01,8,W3,A2-merkle,1,20260001,0.123476,ok,,1023,658,698256343769,698256467245
W3-A2-merkle-R01,9,W3,A2-merkle,1,20260001,0.155935,ok,,1023,659,698256569500,698256725435
W3-A2-merkle-R01,10,W3,A2-merkle,1,20260001,0.161494,ok,,1025,660,698256818825,698256980319
W3-A2-merkle-R01,11,W3,A2-merkle,1,20260001,0.158569,ok,,1023,660,698257074400,698257232969
W3-A2-merkle-R01,12,W3,A2-merkle,1,20260001,0.171098,ok,,1023,660,698257331508,698257502606
W3-A2-merkle-R01,13,W3,A2-merkle,1,20260001,0.211269,ok,,1023,660,698257592571,698257803840
W3-A2-merkle-R01,14,W3,A2-merkle,1,20260001,0.185309,ok,,1023,660,698257901547,698258086856
W3-A2-merkle-R01,15,W3,A2-merkle,1,20260001,0.187332,ok,,1025,660,698258179947,698258367279
W3-A2-merkle-R01,16,W3,A2-merkle,1,20260001,0.151889,ok,,1023,660,698258474380,698258626269
W3-A2-merkle-R01,17,W3,A2-merkle,1,20260001,0.256726,ok,,1023,660,698258714012,698258970738
W3-A2-merkle-R01,18,W3,A2-merkle,1,20260001,0.202936,ok,,1023,660,698259094134,698259297070
W3-A2-merkle-R01,19,W3,A2-merkle,1,20260001,0.222034,ok,,1023,660,698259410932,698259632966
W3-A2-merkle-R01,20,W3,A2-merkle,1,20260001,0.231589,ok,,1025,660,698259735711,698259967300
W3-A2-merkle-R01,21,W3,A2-merkle,1,20260001,0.247563,ok,,1023,660,698260060591,698260308154
W3-A2-merkle-R01,22,W3,A2-merkle,1,20260001,0.239401,ok,,1023,660,698260414594,698260653995
W3-A2-merkle-R01,23,W3,A2-merkle,1,20260001,0.228935,ok,,1023,660,698260749279,698260978214
W3-A2-merkle-R01,24,W3,A2-merkle,1,20260001,0.250238,ok,,1023,660,698261084684,698261334922
